"sim_idx","method","pred_crate","pred_ptran","pred_beta","n_reps","lid","coverage","mean_bias","mae","rmse","smape_full","smape_info","pearson_r","ci_width","peak_day_obs","peak_day_pred","peak_day_err","rel_peak_err","o_mae","o_smape_full","o_smape_info","o_peak","o_cov","excess_mae","excess_smape_full","excess_smape_info","excess_peak_err","coverage_gap"
19,"Oracle",14.6766887721606,0.0225993161457486,0.331683129534816,1000,220,0.989010989010989,0.0357142857142857,1.86538461538462,3.39703328874404,29.9813156824623,37.9598228694709,0.983451657262036,9.70590659340659,39,25,14,26.0869561436673,1.86538461538462,29.9813156824623,37.9598228694709,14,0.989010989010989,0,0,0,0,0
19,"ABC",3.15139958317023,0.112538182115551,0.354652780209683,300,220,0.975274725274725,0.648351648351648,1.97802197802198,3.55567956132961,31.6957074091059,40.8093141411524,0.983138906826469,9.73104395604395,39,31,8,18.8405794370931,1.86538461538462,29.9813156824623,37.9598228694709,14,0.989010989010989,0.112637362637363,1.71439172664358,2.84949127168156,-6,0.0137362637362638
19,"ABC-SMC",4.8479660178825,0.0670211294238306,0.324916157926836,300,220,0.986263736263736,-0.148351648351648,1.9010989010989,3.53436815311567,29.7498506926952,36.661863708396,0.982792663917569,9.57657967032967,39,26,13,27.5362314849822,1.86538461538462,29.9813156824623,37.9598228694709,14,0.989010989010989,0.0357142857142856,-0.231464989767044,-1.29795916107491,-1,0.00274725274725274
19,"NelderMead",10.5,0.5005,5.25525,300,220,0.453296703296703,4.90384615384615,14.4917582417582,38.1886763321276,89.7036441509303,137.224332287381,0.704463358779783,7.14581043956044,39,12,27,273.913039508507,1.86538461538462,29.9813156824623,37.9598228694709,14,0.989010989010989,12.6263736263736,59.722328468468,99.2645094179103,13,0.535714285714286
19,"DE",12.8441640462439,0.0263888822039277,0.338943132024254,300,220,0.978021978021978,0.251373626373626,1.85576923076923,3.40097351932074,29.8173979416797,37.6873751176679,0.98328087352552,9.5742445054945,39,25,14,24.6376808023525,1.86538461538462,29.9813156824623,37.9598228694709,14,0.989010989010989,-0.00961538461538458,-0.163917740782544,-0.27244775180295,0,0.0109890109890111
19,"BiLSTM",9.87201980431564,0.0333964118481347,0.329690039157867,300,220,0.989010989010989,-0.0384615384615385,1.84340659340659,3.39197501545847,28.2892105015241,35.1473740755827,0.983731370553704,9.60817307692307,39,30,9,24.6376808023525,1.86538461538462,29.9813156824623,37.9598228694709,14,0.989010989010989,-0.0219780219780221,-1.69210518093821,-2.81244879388817,-5,0
41,"Oracle",10.6757046910934,0.0574681250000452,0.613512731651324,1000,168,0.994505494505495,-0.199175824175824,1.7239010989011,3.88776257019353,19.1578539173359,34.5716169216113,0.995375754046951,9.7301510989011,25,25,0,8.97435891683103,1.7239010989011,19.1578539173359,34.5716169216113,0,0.994505494505495,0,0,0,0,0
41,"ABC",4.97598750653056,0.257625558699471,1.28194156145152,300,168,0.777472527472527,0.0700549450549451,6.83653846153846,16.4125010984826,33.5156859092038,65.8665321613711,0.946190971267713,8.69038461538461,25,19,6,28.8461536612426,1.7239010989011,19.1578539173359,34.5716169216113,0,0.994505494505495,5.11263736263736,14.3578319918678,31.2949152397598,6,0.217032967032967
41,"ABC-SMC",5.43640632844831,0.116007748499699,0.630665258092804,300,168,0.989010989010989,-0.141483516483516,1.81730769230769,4.10766838491614,18.5976143453065,33.3504959382657,0.994966831860686,9.68543956043956,25,27,2,7.05128200608153,1.7239010989011,19.1578539173359,34.5716169216113,0,0.994505494505495,0.0934065934065933,-0.560239572029435,-1.22112098334559,2,0.00549450549450547
41,"NelderMead",10.5,0.5005,5.25525,300,168,0.695054945054945,0.0686813186813187,12.1208791208791,31.6290961817553,43.2429706905071,87.0685181517568,0.822227482551368,8.29512362637362,25,11,14,80.448717433021,1.7239010989011,19.1578539173359,34.5716169216113,0,0.994505494505495,10.396978021978,24.0851167731712,52.4969012301456,14,0.299450549450549
