"method","n_sims","n_reps","mean_coverage","mean_ci_width","mean_bias","mean_mae","median_mae","mean_excess_mae","mean_smape_full","median_smape_full","mean_smape_info","median_smape_info","mean_excess_smape_info","mean_pearson_r","mean_peak_err","mean_rel_peak"
"Oracle",4,1000,0.987637362637363,8.96365041208791,-0.150068681318681,1.72699175824176,1.79464285714286,0,19.2344996290453,18.5822276447215,31.9232715523739,33.4305596144589,0,0.991864599320699,5.75,13.828257794515
"ABC",4,300,0.900412087912088,8.57170329670329,0.188873626373626,3.59340659340659,3.15178571428571,1.86641483516484,24.9502967336518,28.1274160425208,44.4803856906911,39.439934411455,12.5571141383172,0.976616901497171,6.75,15.2302263493216
"ABC-SMC",4,300,0.985576923076923,8.86698145604395,-0.14217032967033,1.77541208791209,1.8592032967033,0.0484203296703296,19.3656823943456,18.4403781341369,32.2233052365844,34.7512328281842,0.300033684210502,0.991436492298122,5.75,12.587890298871
"NelderMead",4,300,0.636675824175824,6.85484203296703,1.90590659340659,15.8688186813187,16.2403846153846,14.1418269230769,58.2662092911021,50.0591111614855,126.640385979607,130.513583232708,94.7171144272331,0.670128127281305,21,197.435467727919
"DE",4,300,0.983516483516484,8.91866414835165,-0.0803571428571429,1.71085164835165,1.75686813186813,-0.0161401098901099,19.6892580380387,19.7000713799597,32.3320085512744,34.4647810110025,0.40873699890053,0.99182532759169,6,13.4416132344017
"BiLSTM",4,300,0.990384615384615,8.93499313186813,-0.238324175824176,1.76648351648352,1.7603021978022,0.0394917582417581,19.0144438301323,19.2210747774827,31.7988721543395,32.8533582424345,-0.12439939803445,0.991906082505655,4.75,15.3467208904882
