"sim_idx","method","converged","calibrated","n","prevalence","incub","true_beta","pred_beta","err_beta_pct","true_R0","pred_R0","err_R0_pct","mae","rmse","smape","pearson_r","peak_day_true","peak_day_pred","peak_day_err","peak_size_true","peak_size_pred","rel_peak_err","dieout_pred","time_sec","cpu_sec","n_evals","n_model_runs","beta_lo_95","beta_hi_95","beta_covered","R0_lo_95","R0_hi_95","R0_covered","cv_beta","accept_rate","epsilon","n_unique_frac"
10650,"ABC",TRUE,"beta",6173,0.3149198,7.4746494,0.6063409,2.89024259312967,376.669574716627,4.50184067053672,21.4589048066337,376.669575254175,8.24175824175824,31.2902927052851,22.4299663580571,0.896036554481924,12,7,5,253,459,81.422924579356,0,69.236,68.974,2487,2488,0.289759122145153,18.7540297286416,1,2.15134654570072,139.241231737548,1,1.01763706040742,0.613666666666667,16.1964816081616,0.648666666666667
2041,"ABC",TRUE,"beta",5780,0.34515572,6.4338045,0.29791325,0.524808564638525,76.1615382588419,3.61174148088514,6.36249935989336,76.1615384934047,3.90934065934066,12.1525333134316,26.451228448322,0.98018325234076,2,2,0,264,301,14.0151514620638,0,59.917,59.692,2055,2056,0.0933699188702801,5.37682603038438,1,1.13196713825475,65.1857734069976,1,1.50202260089983,0.340333333333333,14.2477962437072,0.312666666666667
8668,"ABC",TRUE,"beta",7349,0.06463464,4.540001,0.6315374,0.677750994621327,7.31763384847054,2.99599367097645,3.21522951828901,7.31763385761508,2.72527472527473,8.63515686400276,10.8431713735533,0.990466400908015,24,20,4,277,325,17.3285197930378,0,70.763,70.51,2005,2006,0.302901881576409,1.27172676484963,1,1.43695705136352,6.03303199256424,1,0.319300609920388,0.155333333333333,17.6575249345198,0.146
1114,"ABC",TRUE,"beta",9545,0.17035097,12.824818,0.40006652,0.442659334749087,10.6464331588213,2.25599020882597,2.49617269907854,10.6464331807138,3.39835164835165,7.99158210965667,24.6503995694544,0.986974031616763,21,31,10,172,178,3.48837207274202,0,115.221,114.809,1872,1873,0.129031544830288,0.980613699596758,1,0.727613752250047,5.52971767027868,1,0.457369374773878,0.17,14.8297230861937,0.153333333333333
13902,"ABC",TRUE,"beta",9999,0.09380938,9.196001,0.3360831,0.343071015884332,2.07922262783824,4.42153227413826,4.51346577395286,2.07922263355463,2.91208791208791,7.11483514361922,19.9768393979577,0.993113548561964,32,34,2,252,264,4.76190474300831,0,124.265,123.811,1797,1798,0.148275379695816,0.991384374498154,1,1.95072104722063,13.0427207078248,1,0.509356190024294,0.113,19.9096241016281,0.109333333333333
11963,"ABC",TRUE,"beta",6583,0.25824094,3.6140294,0.7506447,0.93632371473673,24.7359389188214,4.01988541277631,5.01424181441193,24.7359389456209,3.01923076923077,12.6105005957228,8.20678150923129,0.989312369942667,7,8,1,409,468,14.4254278375906,0,60.99,60.775,2274,2275,0.224905252607164,3.995480896847,1,1.20442247072724,21.3967744983234,1,0.843879366308722,0.411,20.7459356538539,0.382666666666667
11072,"ABC",TRUE,"beta",6392,0.06289111,10.991769,0.5468721,0.572212762602262,4.63374572517492,3.13081318161921,3.27588710385099,4.63374573216804,2.57692307692308,6.39152942194968,18.3594926761218,0.984876354123771,42,34,8,142,154,8.45070416584011,0,75.359,75.105,1939,1940,0.285601415634841,1.21058653173854,1,1.63505265080934,6.93054239018171,1,0.376491722619044,0.171333333333333,11.5617679453437,0.146
3002,"ABC",TRUE,"beta",7773,0.15695356,11.307925,0.24962963,0.288353163923943,15.5123948101912,2.03561819303736,2.35139132523437,15.5123948647123,3.31868131868132,7.47449877036125,28.9498292584178,0.984227160065714,30,30,0,126,130,3.17460314940791,0,85.587,85.288,1767,1768,0.120036248760233,0.521520749958543,1,0.97884202208003,4.25276889871648,1,0.422190563896374,0.106333333333333,11.0598658160093,0.084
19771,"ABC",TRUE,"beta",9138,0.1443423,9.800742,0.22476448,0.275373874078301,22.5166333457737,3.16107798767952,3.87284633110601,22.5166334388294,5.42307692307692,12.218703012051,30.1717889966006,0.976936986088231,34,30,4,168,212,26.1904760345805,0,109.849,109.45,1756,1757,0.0987813073136506,0.669533196048169,1,1.38925606102613,9.416286096667,1,0.569076454875079,0.092,15.49497614436,0.0873333333333333
8115,"ABC",TRUE,"beta",8972,0.062304948,12.14071,0.33156154,0.354721225633328,6.98503377788564,3.84693747792627,4.115647360984,6.98503379713699,3.26098901098901,7.85496972944832,22.5245126725232,0.986735889597027,44,36,8,191,183,4.18848165346345,0,119.526,119.091,1816,1817,0.215008106154846,0.615659068575869,1,2.49462812129847,7.14317452057224,1,0.261894860057052,0.099,15.6551302899594,0.0866666666666667
