"method","mean_wall_sec","median_wall_sec","mean_cpu_sec","mean_evals","mean_model_runs"
"ABC",91.30158475,88.3485,90.95945675,1983.74575,1984.74575
"ABC-SMC",107.525997,104.259,107.1116115,2421.90175,2422.90175
"NelderMead",0.692158,0.668999999999983,0.689441,6,19
"DE",77.82625475,67.623,77.54371625,486.635,1460.905
"BiLSTM",0.0166046729983848,NA,NA,0,0
