"method","n_sims","mean_mae","median_mae","mean_excess_mae","mean_smape","mean_excess_smape","mean_pearson_r","mean_peak_day_err","mean_rel_peak_err","mean_err_beta_pct","mean_err_R0_pct","n_dieout","mean_wall_sec","mean_model_runs"
"ABC",20,3.54368131868132,2.30425824175824,1.49800824175824,21.9618732375234,4.81302018441612,0.96962856655539,7.55,12.7312760397317,31496.8494040473,31496.8775212006,0,117.433,2001
"ABC-SMC",20,2.56888736263736,1.72596153846154,0.523214285714286,19.1170918536071,1.96823880049989,0.981221670940049,6.75,11.0232909824991,3.92438311313346,3.92439064152896,0,99.39355,1716.55
"NelderMead",20,2.50982142857143,1.83516483516484,0.464148351648352,18.6180305772463,1.46917752413906,0.983756343472171,7.3,10.4973791537065,5.11089643168577,5.11090391758369,0,6.89465000000001,118.75
"DE",20,2.45425824175824,1.73282967032967,0.408585164835165,18.4156759431577,1.26682289005049,0.984093876120217,7.85,10.7651733366511,4.30812089988278,4.3081308703552,0,126.8295,2266.75
"BiLSTM",20,2.08646978021978,1.81593406593407,0.0407967032967034,17.4744155541352,0.325562501027902,0.990472630594351,5.5,9.97726750436623,4.05990099384999,3.79627896535436,0,NA,0
