"method","n_sims","mean_mae","median_mae","mean_smape","median_smape","mean_pearson_r","mean_peak_day_err","mean_rel_peak_err","mean_err_beta_pct","mean_err_R0_pct","n_dieout","mean_wall_sec","mean_model_runs"
"ABC",1000,3.25837225274725,2.70947802197802,22.8410232759855,21.2574672268277,0.97626692675052,5.222,13.0791929071592,38.0451312794363,38.0451313418696,0,91.30158475,1984.74575
"ABC-SMC",1000,5.89362225274725,3.99725274725275,34.2245755161305,24.0120561592554,0.941498905869879,8.237,33.1184429534179,55.6036874888471,55.6036877446273,0,107.525997,2422.90175
"NelderMead",1000,20.1426854395604,19.3701923076923,61.7456342724341,53.632721533343,0.567861594889128,19.812,282.530109034288,2763.06624678964,2763.06625677423,0,0.692158,19
"DE",1000,2.10292032967033,1.7706043956044,19.3226606282702,16.3550080898314,0.983102797412657,4.798,12.7475866361624,12.0836670858528,12.0836671230383,0,77.82625475,1460.905
"BiLSTM",1000,1.84453571428571,1.79807692307692,18.6474511749009,16.0848260455756,0.987428894517281,4.575,9.99485293849169,3.75516868428393,3.75516869628738,0,0.0166046729983848,0
