"sim_idx","method","converged","calibrated","n","prevalence","incub","true_beta","pred_beta","err_beta_pct","true_R0","pred_R0","err_R0_pct","mae","rmse","smape","pearson_r","peak_day_true","peak_day_pred","peak_day_err","peak_size_true","peak_size_pred","rel_peak_err","dieout_pred","time_sec","cpu_sec","n_evals","n_model_runs"
6,"ABC",TRUE,"beta",5182,0.33423388,16.488136,0.5486803,1.62415456847579,196.011095444046,2.46613138861981,7.300022547353,196.011095721806,5.2239010989011,13.7589381538286,38.4799049566349,0.945546000722654,2,13,11,113,163,44.2477872190461,0,NA,NA,NA,400
6,"ABC-SMC",TRUE,"beta",5182,0.33423388,16.488136,0.5486803,0.754908608842694,37.5862425654487,2.46613138861981,3.39305751601849,37.5862426187107,2.375,5.96964620594687,25.1538280145367,0.985047679922789,2,16,14,113,116,2.65486723314277,0,NA,NA,NA,400
6,"NelderMead",TRUE,"beta",5182,0.33423388,16.488136,0.5486803,10.0005,1722.64608056341,2.46613138861981,44.9488471736499,1722.6460830045,7.6043956043956,22.575940222349,45.3563692148507,0.868567700783102,2,7,5,113,245,116.814158258282,0,NA,NA,NA,400
6,"DE",TRUE,"beta",5182,0.33423388,16.488136,0.5486803,0.525415981875683,4.24004982171158,2.46613138861981,2.36156618888289,4.24004982772,1.43681318681319,3.63476800656362,21.3568061296292,0.991519294341226,2,2,0,113,98,13.2743361657138,0,NA,NA,NA,400
6,"BiLSTM",TRUE,"beta",5182,0.33423388,16.488136,0.5486803,0.528385400772095,3.6988569101017,2.46613138861981,2.37491271717341,3.6988569153432,1.45192307692308,3.65971910889947,20.9051371864063,0.99132827455961,2,2,0,113,98,13.2743361657138,0,NA,NA,NA,400
19,"ABC",TRUE,"beta",6413,0.14221114,17.195314,0.33168313,0.344175123134062,3.7662431298208,1.5862021324098,1.64594236142687,3.76624313880135,1.88049450549451,3.38964567502236,30.946095635872,0.983640897392901,39,27,12,69,53,23.1884054610376,0,NA,NA,NA,400
19,"ABC-SMC",TRUE,"beta",6413,0.14221114,17.195314,0.33168313,0.500956077956217,51.0345363196107,1.5862021324098,2.39571303821754,51.034536441302,4.65659340659341,9.70144998792097,43.8216367511516,0.970138324599423,39,34,5,69,83,20.2898547784079,0,NA,NA,NA,400
19,"NelderMead",TRUE,"beta",6413,0.14221114,17.195314,0.33168313,10.0005,2915.07645892308,1.5862021324098,47.8252072246311,2915.07646587405,15.0370879120879,40.5321826413324,91.2665209293858,0.680836998655377,39,9,30,69,287,315.942024406637,0,NA,NA,NA,400
19,"DE",TRUE,"beta",6413,0.14221114,17.195314,0.33168313,0.337265992393972,1.68319153800197,1.5862021324098,1.61290095255863,1.68319154201551,1.88736263736264,3.39865034621453,29.1658894800395,0.983274416076506,39,35,4,69,53,23.1884054610376,0,NA,NA,NA,400
19,"BiLSTM",TRUE,"beta",6413,0.14221114,17.195314,0.33168313,0.329690039157867,0.600902082696681,1.5862021324098,1.57667061073164,0.600902084129532,1.87087912087912,3.43363293973528,29.886328823022,0.983237989413698,39,27,12,69,51,26.0869561436673,0,NA,NA,NA,400
