sim_idx,mean_time_sec,median_time_sec,n_windows
10650,0.03556850300121464,0.017089352943003178,19
2041,0.022806584283611493,0.011696760077029467,19
8668,0.02295794103931832,0.012482085032388568,19
1114,0.02246585034912354,0.011694233864545822,19
13902,0.021717759584517854,0.00892819813452661,19
11963,0.022866571469134407,0.011797691928222775,19
11072,0.022690505169233995,0.011936556082218885,19
3002,0.02280866332646263,0.011980453971773386,19
19771,0.023088932110878983,0.011679288931190968,19
8115,0.022736968815718826,0.012375397840514779,19
3525,0.022686592388996167,0.011873242910951376,19
7879,0.0227482725719088,0.012636997969821095,19
16441,0.02272739810378928,0.011686800047755241,19
16296,0.02279691880960998,0.012859298149123788,19
12566,0.024113696816034223,0.012037222040817142,19
5252,0.022969016217087444,0.012504494050517678,19
19393,0.02277113417604644,0.011642156867310405,19
16796,0.022738940045727712,0.012801520060747862,19
8094,0.022925699423802525,0.011711141094565392,19
322,0.022892941585987023,0.01281207799911499,19
9923,0.02344079381835304,0.011727947043254972,19
7459,0.023137625980828153,0.01447336096316576,19
19024,0.02273008430768785,0.011665574973449111,19
17553,0.018746745196710293,0.013139964081346989,19
9119,0.01927670417353511,0.011881639948114753,19
16421,0.020697292626688357,0.007749141892418265,19
16060,0.02183541371241996,0.011792985955253243,19
10120,0.02280770732383979,0.012000348186120391,19
19055,0.02301539626511696,0.012246437836438417,19
3649,0.023163119674121078,0.011692823143675923,19
3941,0.022791866764524264,0.011900825891643763,19
17880,0.022692066470259113,0.011706209043040872,19
16675,0.022835310597560908,0.01302329613827169,19
12630,0.022800655741440624,0.011677373899146914,19
11443,0.02179044969134817,0.012429276015609503,19
12157,0.022977848377961078,0.011964482953771949,19
13835,0.022907409669929428,0.01232828595675528,19
3434,0.022878661212560377,0.011739157140254974,19
18739,0.022789397522022848,0.012138315010815859,19
17407,0.022887746778954016,0.011998756090179086,19
15440,0.02262105753547267,0.011660576798021793,19
10406,0.023116781462081952,0.012916105799376965,19
6517,0.022766175312235168,0.01165133505128324,19
971,0.022818780259082194,0.012601986061781645,19
16487,0.022693107174219268,0.01165361306630075,19
19730,0.022725567368692474,0.012783397920429707,19
13137,0.023072213449172284,0.011913320980966091,19
3669,0.02283903121899225,0.01282159611582756,19
15983,0.022754643872184187,0.011718942085281014,19
4058,0.022739325735816045,0.012354915961623192,19
14976,0.023438872303813696,0.01226966013200581,19
15698,0.02315202645810419,0.013114252826198936,19
13829,0.023571841234929468,0.011664114892482758,19
13419,0.023789485389562815,0.0147501181345433,19
960,0.023085718925454114,0.01170346699655056,19
17744,0.022780749309611947,0.01297916704788804,19
9864,0.02252631693294174,0.011702344054356217,19
11263,0.022795345364628655,0.012672819895669818,19
15782,0.022850311373507504,0.012019724119454622,19
17196,0.023185033988403648,0.012707945890724659,19
7554,0.02255148684458905,0.011978483060374856,19
10498,0.022908948386382116,0.01190988696180284,19
17059,0.022467755124365028,0.011829872149974108,19
17928,0.022948982941574957,0.009595292853191495,19
7085,0.02293299517202142,0.012702190084382892,19
14753,0.022817760987795498,0.011670042062178254,19
4519,0.022764650026434345,0.01374499499797821,19
3024,0.022975084788509105,0.011693830136209726,19
12121,0.013986516829678103,0.008299117907881737,19
18494,0.022648295559185117,0.011691862950101495,19
5483,0.02302935253828764,0.01452174293808639,19
1419,0.022639656365898094,0.011708396021276712,19
6209,0.022849503585970717,0.012324053095653653,19
10742,0.0229946817148869,0.011701301904395223,19
16143,0.022761579394634617,0.01350509817712009,19
17617,0.02279244700299674,0.011677528033033013,19
14568,0.02274595027005202,0.013389912899583578,19
980,0.022717961906700543,0.011675267945975065,19
2783,0.022712011441686435,0.013125065015628934,19
7713,0.023009480357072072,0.011737121036276221,19
11518,0.02307141928835527,0.012585078831762075,19
8600,0.017193717048748544,0.009565637912601233,19
11640,0.021453774374860683,0.006865641800686717,19
18830,0.023089276197807568,0.01213466003537178,19
12562,0.02340985647108602,0.012087586103007197,19
12751,0.02296167348609551,0.013073880923911929,19
6384,0.022867445944269236,0.011852676048874855,19
4807,0.017750302207117017,0.012560332892462611,19
6195,0.023143094682477806,0.012208987027406693,19
10648,0.022713306764336794,0.012737284181639552,19
7567,0.02359266365927301,0.012147621950134635,19
16397,0.02322405240939636,0.012925717979669571,19
17524,0.022898030222246523,0.011759976856410503,19
1346,0.022898703335637326,0.013707875041291118,19
13124,0.023552283718201675,0.011736766900867224,19
12673,0.02075286650736081,0.01400506915524602,19
15455,0.02013689462144516,0.007938625058159232,19
14001,0.022483199209857144,0.013179088942706585,19
18621,0.022986746491178087,0.013845916837453842,19
2119,0.02327833757245619,0.013034050120040774,19
15304,0.023913326109514424,0.011788866948336363,19
4309,0.024056132037290616,0.014936807099729776,19
4484,0.023318362679626597,0.01434706593863666,19
11013,0.021081047181628253,0.011720849899575114,19
4770,0.01768751073579647,0.007304908009245992,19
2712,0.019403312624873298,0.009290062822401524,19
12186,0.018450181477850203,0.006474206922575831,19
16615,0.022795916571723,0.011751289945095778,19
10947,0.023112895457368148,0.01285917405039072,19
2545,0.022799551107087417,0.011677365051582456,19
12619,0.02268779036392899,0.013089798856526613,19
9851,0.022901550388747926,0.012109501985833049,19
4410,0.02284384286031127,0.011739467969164252,19
19647,0.02314606551571112,0.011890996946021914,19
12344,0.02291450465686227,0.011655744863674045,19
12407,0.022931565310021763,0.012185431784018874,19
9610,0.023033866891637444,0.011611330090090632,19
10718,0.023562928183788533,0.014604212017729878,19
7571,0.022851856217082394,0.012119540013372898,19
3570,0.023023227523816258,0.014672411140054464,19
8602,0.023004434868007115,0.011708453996106982,19
3559,0.023266469949464266,0.011902220081537962,19
4991,0.02270512532834944,0.011934796813875437,19
7439,0.022423277952169116,0.012563927099108696,19
9325,0.02316849872371868,0.011677047004923224,19
2300,0.023662468724835076,0.013719164999201894,19
7666,0.023338138419938714,0.012570438906550407,19
5804,0.021805613595796258,0.01171887805685401,19
12022,0.02307638949959686,0.011657769093289971,19
15537,0.023265174528779953,0.014848229940980673,19
9757,0.023081003443190928,0.011638928903266788,19
12014,0.0204306410527543,0.012502253986895084,19
5211,0.022544136172846743,0.013077893061563373,19
11548,0.02305543693517776,0.011662513017654419,19
12366,0.022956802142097762,0.013727958779782057,19
9270,0.023278143122106007,0.01167421997524798,19
3975,0.0233341376052091,0.014194685034453869,19
16090,0.022979829374602752,0.011953501030802727,19
17232,0.022566996085898655,0.01522308005951345,19
17443,0.02395002977726491,0.011798062128946185,19
13656,0.02362959706959756,0.013411307008937001,19
15645,0.019192774253162116,0.012469175970181823,19
2730,0.021691157715395093,0.011803142959252,19
3298,0.022729395386321766,0.011669040191918612,19
8956,0.02361238065273746,0.01185073796659708,19
17410,0.023352635203321512,0.01434191083535552,19
15155,0.023359479713498763,0.011864084051921964,19
17276,0.023062864012133918,0.013454548083245754,19
6703,0.022998651955276728,0.011776050087064505,19
1968,0.02307924044955718,0.012924120994284749,19
4936,0.0244467491896725,0.011869759066030383,19
2112,0.02394838319895299,0.01181955705396831,19
878,0.02345739039102275,0.012885193806141615,19
19075,0.02384213681675886,0.014677382074296474,19
12989,0.024634972067647858,0.012527493061497808,19
7277,0.02486831948504244,0.014270094921812415,19
5709,0.024714033033600764,0.014444836881011724,19
12078,0.025276645025434464,0.01576997898519039,19
6687,0.025969183893482153,0.013155209831893444,19
6418,0.02516278337785288,0.015208418015390635,19
10431,0.025711452588438988,0.01296493993140757,19
9982,0.024928586888372115,0.013270094990730286,19
19073,0.025091191925304502,0.012822990072891116,19
4629,0.025124903253622745,0.012634077109396458,19
8862,0.024720051093026996,0.012638322077691555,19
4667,0.024903163130051996,0.013086767168715596,19
14163,0.023642395365689146,0.014545652084052563,19
385,0.023126332677508656,0.012692173942923546,19
4186,0.022309295955653254,0.013201911933720112,19
5345,0.024935147541232015,0.012579651083797216,19
2195,0.023894829577521273,0.01235761004500091,19
14990,0.02488597230005421,0.015110563021153212,19
12634,0.023999453179146115,0.01423779409378767,19
1077,0.02288930833731827,0.011690477142110467,19
6286,0.022696195991317693,0.013213498052209616,19
5933,0.022716338942317588,0.011660333024337888,19
18512,0.022855843748211077,0.015086352126672864,19
19717,0.022841307910551365,0.011659428011626005,19
13363,0.022935695946216583,0.013204668881371617,19
8072,0.0232687635641349,0.012182540027424693,19
17020,0.022901652086722225,0.012565899873152375,19
9543,0.022677607834339142,0.011882131919264793,19
19094,0.022707123983357298,0.012169287074357271,19
13355,0.022767340690877876,0.011631753062829375,19
18631,0.02316678692831805,0.01190791605040431,19
2848,0.023079389571457318,0.012392939999699593,19
12791,0.022841287396946235,0.011662482051178813,19
7722,0.023208439889314928,0.012582866940647364,19
812,0.02271835595418356,0.01170915411785245,19
11193,0.02315536202666791,0.013017157092690468,19
5135,0.022979588750259655,0.011829009046778083,19
8510,0.022609605490671175,0.012988039990887046,19
7434,0.02015245536734399,0.010064786998555064,19
16476,0.02367541566491127,0.011826591100543737,19
936,0.023160450013452454,0.013287482084706426,19
11965,0.022939604903130156,0.011821614112704992,19
1692,0.023042195256015186,0.013096618000417948,19
6216,0.023165880984283592,0.011803507804870605,19
9459,0.023234781392506863,0.012600650079548359,19
12527,0.02279203850775957,0.011755485087633133,19
15484,0.023393369169513647,0.014405199093744159,19
5792,0.02291198872568968,0.011866109911352396,19
12266,0.0231319636253542,0.014974354999139905,19
2221,0.023065831107822687,0.011969442013651133,19
15757,0.02288421127013862,0.012581096030771732,19
4693,0.023147999431545798,0.011814102996140718,19
10108,0.022755152055699574,0.012559463968500495,19
5107,0.023006282232113574,0.011795490980148315,19
13480,0.02319826248199924,0.013306159991770983,19
4745,0.023159178059646172,0.01188906910829246,19
1604,0.019728126568033508,0.012905034935101867,19
17395,0.021075004331865592,0.01226529898121953,19
16863,0.022295633465737888,0.010626276955008507,19
8213,0.018394574486209375,0.007277522934600711,19
1092,0.023216917841254098,0.013331959955394268,19
13884,0.022767305950094994,0.011862788116559386,19
6311,0.024767721549754863,0.012520392891019583,19
9012,0.02122108400554249,0.012200600001960993,19
351,0.023219304588182194,0.01313935685902834,19
14782,0.023257022919623477,0.011820697924122214,19
1530,0.022362261189539965,0.01267464691773057,19
13591,0.023083619871421865,0.011985225835815072,19
15215,0.022959194060316997,0.01302043511532247,19
11540,0.02278987206763735,0.01210611592978239,19
218,0.020743785156427247,0.012227511964738369,19
6813,0.023058005437058837,0.012609120924025774,19
5357,0.023068566647309222,0.011843567015603185,19
15729,0.022634785021900347,0.013471025973558426,19
13043,0.023163452597433014,0.011864073108881712,19
1453,0.02347425395916951,0.01463972800411284,19
14932,0.021788534757338072,0.011847305810078979,19
4740,0.023104212982089894,0.013050511945039034,19
2814,0.02306823752281305,0.011877691838890314,19
7886,0.022843792385078575,0.012510269181802869,19
4973,0.022990363527481492,0.011674608802422881,19
1182,0.021722067907256514,0.009667209116742015,19
10035,0.022743722767029937,0.012994507793337107,19
3947,0.020913464335822744,0.011783458990976214,19
3189,0.02331704136572386,0.016452295938506722,19
14480,0.017417569362901543,0.00939467502757907,19
19826,0.020735495294885414,0.011673957807943225,19
9623,0.01869313847763758,0.010846493067219853,19
1006,0.022878458613137666,0.011651827953755856,19
2325,0.022958276266428202,0.012398975901305676,19
10645,0.027930868127824443,0.01184798707254231,19
19523,0.023118240574963,0.013661762932315469,19
17725,0.022885701668105628,0.011706311022862792,19
5743,0.023073937302749408,0.013000770937651396,19
12680,0.022932533003193766,0.011849594069644809,19
14583,0.021732896063966972,0.01226256089285016,19
19257,0.022224755822925976,0.01269053597934544,19
11881,0.023514944140946393,0.012084298999980092,19
1027,0.022300053167303924,0.0135992590803653,19
4069,0.02344016939107525,0.011711539002135396,19
18572,0.023624699403482833,0.014481657883152366,19
14652,0.020356871346992097,0.011639844859018922,19
6650,0.02180163130948418,0.011667890008538961,19
15783,0.022625277284532785,0.012667017057538033,19
17648,0.022791201199748014,0.012000943999737501,19
4622,0.02296966117022461,0.011641446966677904,19
10385,0.02214218661385147,0.011587787885218859,19
13670,0.022833384941086957,0.011703545926138759,19
14046,0.022834700029833538,0.012183945160359144,19
1962,0.022960113287952385,0.011725866002961993,19
19874,0.022854746576692713,0.012383775087073445,19
1599,0.022779899673830522,0.012575034983456135,19
9675,0.021793031599372625,0.012428980087861419,19
10952,0.02082109878967075,0.006780759897083044,19
4333,0.02271935737103616,0.013431207975372672,19
12099,0.022935467808948534,0.011728559155017138,19
6955,0.022768827290029117,0.012764581013470888,19
18821,0.0228237425540819,0.012163751060143113,19
8545,0.023365025102209887,0.012719397898763418,19
15974,0.022759378127949804,0.011872058967128396,19
13722,0.022885923420912342,0.012821720913052559,19
695,0.020392142689639802,0.011630691820755601,19
15630,0.02292702059065433,0.011685135075822473,19
13589,0.022669374097236676,0.012711921008303761,19
14521,0.023222420523923478,0.011525481007993221,19
19917,0.023114065480369487,0.013395223999395967,19
9770,0.02303830529318044,0.011720481095835567,19
13377,0.023118819845350164,0.013979141134768724,19
1034,0.023313892539590597,0.011731144972145557,19
10842,0.022814925845810456,0.01219590613618493,19
16592,0.021486901800687377,0.012044930132105947,19
10421,0.023063663920191557,0.011666718171909451,19
10979,0.022781839251126115,0.012633653124794364,19
2127,0.022837942576427992,0.011754106031730771,19
12187,0.01973611395806074,0.013155353022739291,19
5970,0.022816936215875966,0.01280635898001492,19
13225,0.023305809946338598,0.011694942135363817,19
993,0.02375737216176563,0.013864642009139061,19
15084,0.023513443608719268,0.011831110808998346,19
14845,0.023032877300130695,0.013420169008895755,19
14945,0.022742836821922345,0.011764819035306573,19
447,0.02290388851083423,0.01263384590856731,19
17277,0.022014944728365855,0.011825182940810919,19
5453,0.022987394740706997,0.012924954062327743,19
3211,0.022942032750793977,0.0119984510820359,19
5561,0.021468770506448652,0.01303199795074761,19
18911,0.0227291623596102,0.012695631012320518,19
3210,0.023035208694636822,0.011659807059913874,19
13813,0.023082737185943284,0.01331267412751913,19
8966,0.02278825565927515,0.011632624082267284,19
17653,0.022947284086656413,0.012745646992698312,19
10649,0.0233249358073073,0.011743823997676373,19
19714,0.022962044569124516,0.013002712978050113,19
3971,0.02086683977885466,0.012701856903731823,19
10807,0.02308418909332862,0.011685846839100122,19
19544,0.022110838602346024,0.013026486150920391,19
11366,0.02312643495143244,0.013717618072405457,19
3778,0.023355042672176893,0.012748104985803366,19
13079,0.019466506415291837,0.011987581849098206,19
6352,0.021741010371203486,0.014676022110506892,19
4007,0.023396814094954414,0.011722188908606768,19
3776,0.023269167733623794,0.014449551003053784,19
17147,0.02359767542465737,0.01225349586457014,19
14104,0.02301758827984725,0.01208139001391828,19
19145,0.023301626053197605,0.011817104881629348,19
19183,0.023144075585725277,0.012294027954339981,19
8426,0.022652062403626348,0.013142894022166729,19
4337,0.0231523055852832,0.0119667979888618,19
8117,0.023168774211387102,0.011839673854410648,19
7763,0.028413350877695177,0.012161317048594356,19
14012,0.02301213756742838,0.01316796406172216,19
13651,0.02244355404553445,0.011757886037230492,19
438,0.02298171286422171,0.011693255975842476,19
16533,0.023177957431854385,0.012593509862199426,19
3269,0.022786267812510853,0.012099760118871927,19
3752,0.022873004150920008,0.01186391618102789,19
9113,0.02333099118090774,0.011665579862892628,19
9440,0.023059281054884195,0.011796733131632209,19
1739,0.02266799636479271,0.011722563998773694,19
606,0.02291083578510504,0.012493224814534187,19
17085,0.023029234738236194,0.011938480194658041,19
12998,0.023015221752422422,0.01304415799677372,19
16972,0.022949762715909042,0.011640581069514155,19
18366,0.02331195717775508,0.013824644964188337,19
15683,0.023108174411678,0.011659479001536965,19
11037,0.023378010422579552,0.014310326892882586,19
5746,0.023691346096855245,0.012202122015878558,19
11584,0.0231519908595242,0.012175521114841104,19
6270,0.023005517444720392,0.012799761956557631,19
8851,0.02290633110035407,0.011669449973851442,19
18408,0.023003066767399247,0.012547528836876154,19
6600,0.02281002833900091,0.011771932011470199,19
11378,0.023059334826508637,0.012755065923556685,19
17189,0.022900423451669906,0.011678663082420826,19
11605,0.023092997211374734,0.01358531299047172,19
6909,0.02373471623286605,0.012231677072122693,19
738,0.01919048306483187,0.014290933962911367,19
1994,0.018497523202217724,0.006470314925536513,19
119,0.016882833522303325,0.011763396905735135,19
14926,0.02221555191729414,0.011696031084284186,19
17609,0.02313712773550498,0.01274035288952291,19
17436,0.02186872991488168,0.01166658103466034,19
18553,0.020989388472547655,0.013218670850619674,19
7293,0.021130710497106377,0.011665188008919358,19
3405,0.02201807012438382,0.009230586932972074,19
10537,0.022982222555009157,0.012027613818645477,19
18466,0.023068475500239355,0.012815119000151753,19
8626,0.02280320138915589,0.011667621089145541,19
3481,0.023227975642504662,0.012798615032806993,19
17818,0.023226541050366666,0.011629977962002158,19
127,0.02293731704795439,0.013241235166788101,19
13426,0.023594512567414266,0.01170921209268272,19
10610,0.023074225449052296,0.013492846162989736,19
15273,0.023230313593031543,0.011636811075732112,19
19580,0.022935022563232405,0.013138120993971825,19
19285,0.023155805385230405,0.011707725934684277,19
12822,0.02324398741812298,0.013302936917170882,19
3073,0.022634174895325775,0.011709988117218018,19
2380,0.022747359986073877,0.013498857151716948,19
2483,0.024024080926258313,0.013317161938175559,19
