"dataset","win_len","method","beta","R0"
"Utah COVID-19 Current (2025)",61,"BiLSTM",0.135187074542046,0.946309521794321
"Utah COVID-19 Current (2025)",61,"ABC",0.23083736364381,1.61586154550667
"Utah COVID-19 Current (2025)",61,"ABC-SMC",0.232213161056172,1.6254921273932
"Utah COVID-19 Current (2025)",61,"NelderMead",0.216424735145536,1.51497314601875
"Utah COVID-19 Current (2025)",61,"DE",0.232235760870624,1.62565032609437
