"method","beta","R0","coverage_pct","rmse","mae","n_in_ci","n_days","calibration_time_s"
"BiLSTM",0.135187074542046,0.946309521794321,0,32.3081982185814,29.7868852459016,0,61,NA
"ABC",0.23083736364381,1.61586154550667,44.2622950819672,24.5964145061303,18.5245901639344,27,61,637.6
"ABC-SMC",0.232213161056172,1.6254921273932,44.2622950819672,24.5447066177378,18.4754098360656,27,61,464
"NelderMead",0.216424735145536,1.51497314601875,36.0655737704918,25.5624436349533,19.9754098360656,22,61,7.2
"DE",0.232235760870624,1.62565032609437,44.2622950819672,24.5442891758458,18.483606557377,27,61,411.7
