"day","window","regime","win_len","mean_mae","sd_mae"
1,"mid_365d","mid",365,0,0
2,"mid_365d","mid",365,0,0
3,"mid_365d","mid",365,0.111111111111111,0.333333333333333
4,"mid_365d","mid",365,0.333333333333333,1
5,"mid_365d","mid",365,0.222222222222222,0.440958551844098
6,"mid_365d","mid",365,2.88888888888889,4.62180820795402
7,"mid_365d","mid",365,4,6.53834841531101
8,"mid_365d","mid",365,3.11111111111111,4.7551142058957
9,"mid_365d","mid",365,4.77777777777778,6.15990620419211
10,"mid_365d","mid",365,4.11111111111111,4.19655943733806
11,"mid_365d","mid",365,7.44444444444444,8.04846431176642
12,"mid_365d","mid",365,7,6.51920240520265
13,"mid_365d","mid",365,7.66666666666667,6.92820323027551
14,"mid_365d","mid",365,4.55555555555556,4.77260702109212
15,"mid_365d","mid",365,7.11111111111111,7.5901983578238
16,"mid_365d","mid",365,5,6.46142399166004
17,"mid_365d","mid",365,10.2222222222222,8.85688683705762
18,"mid_365d","mid",365,12.3333333333333,8.64580823289529
19,"mid_365d","mid",365,5,4.52769256906871
20,"mid_365d","mid",365,9.33333333333333,9.24662100445346
21,"mid_365d","mid",365,9.55555555555556,9.05691877946235
22,"mid_365d","mid",365,7.77777777777778,6.53409859463755
23,"mid_365d","mid",365,13.3333333333333,10.0498756211209
24,"mid_365d","mid",365,3.55555555555556,3.2829526005987
25,"mid_365d","mid",365,7,6.80073525436772
26,"mid_365d","mid",365,15.3333333333333,12.7671453348037
27,"mid_365d","mid",365,7.22222222222222,5.56277308942621
28,"mid_365d","mid",365,8.22222222222222,6.61017733835065
29,"mid_365d","mid",365,9.88888888888889,8.70982842030261
30,"mid_365d","mid",365,11.2222222222222,7.82268780180089
31,"mid_365d","mid",365,6.77777777777778,5.62978191801818
32,"mid_365d","mid",365,5.77777777777778,6.43773597194266
33,"mid_365d","mid",365,10.7777777777778,8.39311887467611
34,"mid_365d","mid",365,9.88888888888889,6.19363472535402
35,"mid_365d","mid",365,14.6666666666667,11.8743420870379
36,"mid_365d","mid",365,8.44444444444444,8.29323686974982
37,"mid_365d","mid",365,10.7777777777778,9.7182531580755
38,"mid_365d","mid",365,7.33333333333333,5.61248608016091
39,"mid_365d","mid",365,7.77777777777778,5.33333333333333
40,"mid_365d","mid",365,9.77777777777778,7.74237976622462
41,"mid_365d","mid",365,10.3333333333333,7.0178344238091
42,"mid_365d","mid",365,9.88888888888889,6.41179468722378
43,"mid_365d","mid",365,6.11111111111111,5.90432986130612
44,"mid_365d","mid",365,7.55555555555556,9.74821921059317
45,"mid_365d","mid",365,11.1111111111111,9.41334749762863
46,"mid_365d","mid",365,6.77777777777778,5.49494717394484
47,"mid_365d","mid",365,8.44444444444444,6.12599198316304
48,"mid_365d","mid",365,6.33333333333333,6.20483682299543
49,"mid_365d","mid",365,9.55555555555556,7.79601037568433
50,"mid_365d","mid",365,8.22222222222222,5.73972511924085
51,"mid_365d","mid",365,11.6666666666667,8.18535277187245
52,"mid_365d","mid",365,5.88888888888889,5.81903008336536
53,"mid_365d","mid",365,5,4.21307488658818
54,"mid_365d","mid",365,7.22222222222222,9.49707557327225
55,"mid_365d","mid",365,10.2222222222222,7.42929636267422
56,"mid_365d","mid",365,7.77777777777778,6.92419269261366
57,"mid_365d","mid",365,10.3333333333333,6.08276253029822
58,"mid_365d","mid",365,6.66666666666667,5.74456264653803
59,"mid_365d","mid",365,7.88888888888889,8.41790419944959
60,"mid_365d","mid",365,8.88888888888889,6.88194094068753
61,"mid_365d","mid",365,6.22222222222222,5.26255113461565
62,"mid_365d","mid",365,5,6.51920240520265
63,"mid_365d","mid",365,6.55555555555556,6.67291373972253
64,"mid_365d","mid",365,5.88888888888889,4.51232879022696
65,"mid_365d","mid",365,6.22222222222222,6.47645307590848
66,"mid_365d","mid",365,7.11111111111111,6.50854139658888
67,"mid_365d","mid",365,8.33333333333333,7.68114574786861
68,"mid_365d","mid",365,7,5.61248608016091
69,"mid_365d","mid",365,7.66666666666667,6.04152298679729
