"day","window","regime","win_len","mean_mae","sd_mae"
1,"mid_180d","mid",180,0,0
2,"mid_180d","mid",180,0,0
3,"mid_180d","mid",180,0.333333333333333,0.5
4,"mid_180d","mid",180,1,1.5
5,"mid_180d","mid",180,2.66666666666667,3.53553390593274
6,"mid_180d","mid",180,4.66666666666667,5.24404424085076
7,"mid_180d","mid",180,5.11111111111111,4.85912657903775
8,"mid_180d","mid",180,7.55555555555556,10.088497300281
9,"mid_180d","mid",180,12.8888888888889,14.6239909433475
10,"mid_180d","mid",180,9.44444444444444,5.2228132053308
11,"mid_180d","mid",180,14.3333333333333,11.4017542509914
12,"mid_180d","mid",180,15.2222222222222,12.8819425726264
13,"mid_180d","mid",180,11.4444444444444,9.23459678479671
14,"mid_180d","mid",180,11.4444444444444,13.8934436975783
15,"mid_180d","mid",180,14,8.8034084308295
16,"mid_180d","mid",180,15.2222222222222,12.8527990898654
17,"mid_180d","mid",180,13,9.73396116696589
18,"mid_180d","mid",180,14.3333333333333,13.2476412994918
19,"mid_180d","mid",180,10.4444444444444,10.7716190880377
20,"mid_180d","mid",180,23,18.6614576065215
21,"mid_180d","mid",180,20.7777777777778,17.1812236014914
22,"mid_180d","mid",180,16,14.9080515158756
23,"mid_180d","mid",180,21,14.7563545633737
24,"mid_180d","mid",180,17.4444444444444,11.5554220077753
25,"mid_180d","mid",180,20.7777777777778,15.4820684808085
26,"mid_180d","mid",180,15.4444444444444,14.7233752169052
27,"mid_180d","mid",180,19.1111111111111,15.8307015356588
28,"mid_180d","mid",180,21.4444444444444,14.4491445344622
29,"mid_180d","mid",180,25.3333333333333,23.832750575626
30,"mid_180d","mid",180,23.4444444444444,17.2924196623196
31,"mid_180d","mid",180,19.2222222222222,10.7328674847146
32,"mid_180d","mid",180,19.6666666666667,11.8321595661992
33,"mid_180d","mid",180,25.5555555555556,18.7956850840233
34,"mid_180d","mid",180,17.2222222222222,15.6666666666667
35,"mid_180d","mid",180,18.3333333333333,14.1774468787578
36,"mid_180d","mid",180,16.3333333333333,10.1488915650922
37,"mid_180d","mid",180,16.7777777777778,14.9313242696167
38,"mid_180d","mid",180,21.2222222222222,14.9313242696167
39,"mid_180d","mid",180,21.1111111111111,13.1856403375457
40,"mid_180d","mid",180,16.4444444444444,16.1021047623526
41,"mid_180d","mid",180,15.2222222222222,9.09364857713583
42,"mid_180d","mid",180,15.1111111111111,9.54521404218424
43,"mid_180d","mid",180,15.3333333333333,13.0862523283024
44,"mid_180d","mid",180,15.5555555555556,8.7907779961604
45,"mid_180d","mid",180,20.3333333333333,17.3709527660402
46,"mid_180d","mid",180,16.3333333333333,12.2983738762488
47,"mid_180d","mid",180,16.8888888888889,10.4814651223534
48,"mid_180d","mid",180,23.6666666666667,15.7321327225523
49,"mid_180d","mid",180,18.4444444444444,11.2484566842646
50,"mid_180d","mid",180,8.22222222222222,6.92419269261366
51,"mid_180d","mid",180,17.4444444444444,13.4917670368925
52,"mid_180d","mid",180,14.2222222222222,7.83865067753656
53,"mid_180d","mid",180,14.1111111111111,7.50740375303681
54,"mid_180d","mid",180,18.2222222222222,12.607317099385
55,"mid_180d","mid",180,15.1111111111111,12.3839053255066
56,"mid_180d","mid",180,19.3333333333333,11.5
57,"mid_180d","mid",180,13.1111111111111,9.98053661438658
58,"mid_180d","mid",180,10.8888888888889,10.6471175024563
59,"mid_180d","mid",180,8.11111111111111,8.75277733700059
