"method","n_sims","mean_smape","median_smape","mean_mae","mean_pearson","mean_err_beta","mean_err_R0","mean_time_sec"
"ABC",500,21.5624231367318,18.4689552177381,2.87897802197802,0.977982391637562,28.6939888223923,28.6939890361765,53.398356
"ABC-SMC",500,52.5845427214121,43.8304253879182,14.3917417582418,0.7654965517098,318.520156420576,318.520156620286,40.399288
"NelderMead",500,59.9023515557295,50.8673335989453,20.1179038461538,0.570356875891903,2640.85558396155,2640.85558574328,17.011726
"DE",500,18.6068879743697,15.8140940008383,1.94170879120879,0.984951227313871,4.75797773318693,4.75797787757379,50.991464
"BiLSTM",500,22.0565340788586,17.3304065733495,2.79454945054945,0.977700519152142,13.7289347427993,13.8663206583588,NA
