"sim_idx","method","pred_beta","pred_R0","true_beta","true_R0","smape","mae","pearson_r","err_beta_pct","err_R0_pct","time_sec","n_model_runs"
6,"BiLSTM",0.466480940580368,2.33377909660339,0.5486803,2.4661314,21.1090022408363,1.70467032967033,0.991519356377733,14.9812849886595,5.36679851676219,NA,500
6,"ABC",1.24335766277122,5.58846993311238,0.5486803,2.4661314,34.4392231671653,4.34752747252747,0.961063166212381,126.60876703086,126.608765985153,40.16,500
6,"ABC-SMC",2.01504644873631,9.05694863977345,0.5486803,2.4661314,39.9459106097583,5.81593406593407,0.932071269588558,267.253289162434,267.25328746771,28.529,500
6,"NelderMead",10.0005,44.9488471736499,0.5486803,2.4661314,45.4188837622837,7.58241758241758,0.86924707978169,1722.64608370302,1722.64607529225,12.417,500
6,"DE",0.536794696706928,2.41270964310839,0.5486803,2.4661314,21.2704880464871,1.45467032967033,0.991297136275423,2.16621651863065,2.16621697009369,31.136,500
19,"BiLSTM",0.387422561645508,1.74667572975159,0.33168313,1.5862021,35.3321403830193,2.46016483516484,0.981837576520335,16.8050246165694,10.1168463811507,NA,500
19,"ABC",0.317183676176361,1.51686166105742,0.33168313,1.5862021,29.4534247850349,1.91346153846154,0.983256528401269,4.37147762795136,4.37147567403784,48.188,500
19,"ABC-SMC",1.25316308034627,5.99297875144418,0.33168313,1.5862021,80.9286132723546,11.4450549450549,0.834291064561435,277.81936040771,277.81936812744,38.449,500
19,"NelderMead",10.0005,47.8252072246311,0.33168313,1.5862021,91.2954391862143,15.0343406593407,0.681069637616233,2915.07646771182,2915.07652931686,16.201,500
19,"DE",0.360166945011307,1.72241975707495,0.33168313,1.5862021,32.823662863339,2.01785714285714,0.983124177691994,8.58765865219236,8.58766087089121,61.011,500
218,"BiLSTM",0.907593607902527,4.48253440856934,0.95965236,4.3959727,5.85345408469167,1.03983516483516,0.996796922603871,5.42475111481757,1.96911387937728,NA,500
218,"ABC",0.972684432495703,4.45567019329592,0.95965236,4.3959727,7.48939061713897,1.44093406593407,0.994403204866548,1.35799931713849,1.35800418632986,33.089,500
