"sim_idx","method","pred_beta","pred_R0","true_beta","true_R0","smape","mae","pearson_r","err_beta_pct","err_R0_pct","time_sec","n_model_runs"
6,"BiLSTM",0.330458134412766,1.45340061187744,0.5486803,2.4661314,24.2469241202816,2.91758241758242,0.987262834864285,39.7721889390296,41.0655648000978,NA,400
6,"ABC",1.24335766277122,5.58846993311238,0.5486803,2.4661314,34.5303885158867,4.33516483516483,0.961155122493353,126.60876703086,126.608765985153,40.456,400
6,"ABC-SMC",2.01504644873631,9.05694863977345,0.5486803,2.4661314,40.1770970519118,5.81868131868132,0.932000341568186,267.253289162434,267.25328746771,28.149,400
6,"NelderMead",10.0005,44.9488471736499,0.5486803,2.4661314,45.3563692148507,7.6043956043956,0.868567700783102,1722.64608370302,1722.64607529225,12.583,400
6,"DE",0.536794696706928,2.41270964310839,0.5486803,2.4661314,21.264245468315,1.44368131868132,0.991370367228884,2.16621651863065,2.16621697009369,31.248,400
19,"BiLSTM",0.286229133605957,1.29129135608673,0.33168313,1.5862021,31.2306997454764,2.46153846153846,0.980684249833334,13.7040422869993,18.5922552941563,NA,400
19,"ABC",0.317183676176361,1.51686166105742,0.33168313,1.5862021,29.5299974685473,1.92307692307692,0.983098774141064,4.37147762795136,4.37147567403784,47.623,400
19,"ABC-SMC",1.25316308034627,5.99297875144418,0.33168313,1.5862021,80.9550433255989,11.456043956044,0.834131344392387,277.81936040771,277.81936812744,38.648,400
19,"NelderMead",10.0005,47.8252072246311,0.33168313,1.5862021,91.2665209293858,15.0370879120879,0.680836998655377,2915.07646771182,2915.07652931686,16.376,400
19,"DE",0.360166945011307,1.72241975707495,0.33168313,1.5862021,32.8871751174057,2.00961538461538,0.98316757082451,8.58765865219236,8.58766087089121,61.781,400
218,"BiLSTM",0.880617439746857,4.20737552642822,0.95965236,4.3959727,6.19630651550628,1.13461538461538,0.995937631778458,8.23578657725005,4.2902262239203,NA,400
218,"ABC",0.972684432495703,4.45567019329592,0.95965236,4.3959727,7.4492129442439,1.44093406593407,0.994433968043119,1.35799931713849,1.35800418632986,33.839,400
218,"ABC-SMC",1.34075848865793,6.1417428250534,0.95965236,4.3959727,17.7480262816566,6.29807692307692,0.915649127751472,39.7129361155252,39.71294282727,23.717,400
218,"NelderMead",10.0005,45.8102631022139,0.95965236,4.3959727,28.8080129459906,17.8063186813187,0.366721796193905,942.096119057114,942.096169118929,9.34,400
218,"DE",0.90359930837784,4.13920524531447,0.95965236,4.3959727,6.31730569259407,1.02197802197802,0.9968114171017,5.84097470694078,5.84097018358477,22.631,400
274,"BiLSTM",0.277623862028122,2.19711780548096,0.27680475,2.3088672,16.4764588947254,1.82142857142857,0.990904542391573,0.295916897423892,4.84000961679576,NA,400
274,"ABC",0.291542486230431,2.43179688046704,0.27680475,2.3088672,16.3423226891406,1.99313186813187,0.989915543665654,5.32423530681147,5.3242421420792,49.515,400
274,"ABC-SMC",2.14245316890978,17.8705031985753,0.27680475,2.3088672,75.3324737529162,20.0673076923077,0.546064466295854,673.994365671029,673.994415901241,39.897,400
274,"NelderMead",10.0005,83.4155769800533,0.27680475,2.3088672,77.9691053368228,22.1978021978022,0.43573288348136,3512.83540112661,3512.83563559019,18.431,400
274,"DE",0.293370843596729,2.4470474664013,0.27680475,2.3088672,16.1605871277149,2.0521978021978,0.98967344008443,5.98475770257888,5.9847645807128,54.349,400
285,"BiLSTM",0.702686905860901,4.13762092590332,0.75713855,4.4793363,9.02956789782484,1.10027472527473,0.996085591957673,7.19176749606781,7.62870548694189,NA,400
285,"ABC",4.1503278871047,24.5539136325734,0.75713855,4.4793363,19.2658074992951,6.35164835164835,0.909194052595531,448.159631695507,448.159637680551,41.858,400
285,"ABC-SMC",1.73860891577145,10.2858507375558,0.75713855,4.4793363,16.0397803928937,4.31868131868132,0.961354924001898,129.628898934211,129.628901441398,28.296,400
285,"NelderMead",10.0005,59.1643407369071,0.75713855,4.4793363,21.1465330407665,7.36263736263736,0.869533153279165,1220.82826848534,1220.82828290671,11.259,400
285,"DE",0.741743853662399,4.38825919679903,0.75713855,4.4793363,8.18789493332319,1.14835164835165,0.995533397115583,2.03327334707775,2.03327227743467,25.136,400
323,"BiLSTM",0.380596578121185,3.77892565727234,0.40295416,3.9455984,12.9344582354974,2.25961538461538,0.995000105551021,5.54841818206188,4.22427033444816,NA,400
323,"ABC",0.409394500591906,4.00865996346436,0.40295416,3.9455984,13.0405381978602,2.13186813186813,0.995669089960157,1.59828120198729,1.59827628337342,70.196,400
323,"ABC-SMC",1.44939974341993,14.1920585501335,0.40295416,3.9455984,43.0179584050215,19.0467032967033,0.77613833831816,259.693455806468,259.693438392855,52.691,400
323,"NelderMead",10.0005,97.9216963263183,0.40295416,3.9455984,49.3271126969509,26.3502747252747,0.562611058562906,2381.79594423346,2381.79582408383,23.896,400
323,"DE",0.38850495010137,3.80411616870134,0.40295416,3.9455984,13.1697711353488,2.11675824175824,0.995509774543056,3.58581976139176,3.58582442903102,62.574,400
359,"BiLSTM",0.941289842128754,4.40312004089355,0.86728495,4.0366483,10.3836276527387,1.94642857142857,0.99598216173293,8.53293858365161,9.07861457470928,NA,400
359,"ABC",1.36413917861536,6.3491821357054,0.86728495,4.0366483,19.6887917092264,5.67307692307692,0.971170347038843,57.2884642602592,57.2884646825783,61.217,400
359,"ABC-SMC",1.82207259415153,8.48056484712054,0.86728495,4.0366483,24.0802112630572,8.26510989010989,0.937174187887921,110.089266987918,110.089267552007,35.743,400
359,"NelderMead",10.0005,46.5458341373724,0.86728495,4.0366483,31.9102944786313,15.456043956044,0.765785824112649,1053.08123356689,1053.08123666291,15.924,400
359,"DE",0.836463133619784,3.89319276831091,0.86728495,4.0366483,8.46565823314796,1.46978021978022,0.997021057155969,3.55382811384145,3.5538278548837,38.307,400
409,"BiLSTM",0.379299223423004,1.98651230335236,0.21480735,1.1275607,56.2441489861026,5.45741758241758,0.950288620971349,76.5764641773217,76.1778592808667,NA,400
409,"ABC",0.198750721415522,1.04327675486267,0.21480735,1.1275607,43.3990461175867,1.80357142857143,0.981112960304154,7.47489719717582,7.47489205125056,47.53,400
409,"ABC-SMC",1.48697794032581,7.80540321608279,0.21480735,1.1275607,95.410111235498,11.6868131868132,0.854198954375845,592.237924040219,592.237962540091,39.766,400
409,"NelderMead",10.0005,52.4943462478891,0.21480735,1.1275607,101.675776584172,13.1277472527473,0.812303824097495,4555.56695336542,4555.56721229191,16.911,400
409,"DE",0.212487093719228,1.11538133802358,0.21480735,1.1275607,40.4532802213745,1.5989010989011,0.982280436231265,1.08015683856791,1.08015133698938,73.284,400
431,"BiLSTM",0.306219846010208,2.27152419090271,0.24728762,1.9948326,64.0649184854306,6.60851648351648,0.903288410498103,23.8314501996534,13.8704165403508,NA,400
431,"ABC",0.308272899638718,2.48679193820338,0.24728762,1.9948326,66.312592263506,6.82967032967033,0.898104056640629,24.6616792376092,24.6616853064953,57.067,400
431,"ABC-SMC",1.07702240936856,8.68818066077488,0.24728762,1.9948326,135.52369567198,25.1085164835165,0.158790496003291,335.534301866206,335.534323069258,46.783,400
431,"NelderMead",10.0005,80.6725560603881,0.24728762,1.9948326,142.538726237881,28.6840659340659,-0.0556409113217713,3944.07628655248,3944.07648342964,20.433,400
431,"DE",0.368572103031793,2.97321670357757,0.24728762,1.9948326,93.3035738062229,11.4945054945055,0.755224514386203,49.0459178796712,49.0459251356516,58.051,400
542,"BiLSTM",0.769053637981415,3.36055088043213,0.82430446,3.5648758,6.6520578653485,1.80769230769231,0.996302926617041,6.70272025685573,5.7316139756642,NA,400
542,"ABC",0.822261394605663,3.55604049538001,0.82430446,3.5648758,6.36673027481142,1.60714285714286,0.997436928865025,0.247853250040264,0.247843266236236,56.04,400
542,"ABC-SMC",1.14487199394192,4.95123716033924,0.82430446,3.5648758,17.3762489316338,8.89972527472528,0.946764459108525,38.889457657662,38.8894715585671,39.414,400
542,"NelderMead",10.0005,43.2492431328393,0.82430446,3.5648758,29.650874663893,28.657967032967,0.44052077623094,1113.20464528361,1113.20476670854,14.391,400
542,"DE",0.792984065167867,3.42942459226162,0.82430446,3.5648758,7.06831279575055,1.53708791208791,0.997403220571853,3.79961486950264,3.79960524118061,37.535,400
640,"BiLSTM",0.46618190407753,4.00174236297607,0.46964404,4.034237,11.7504539028067,1.47527472527473,0.994192335291223,0.73718297851072,0.805471692018239,NA,400
640,"ABC",0.479544778467915,4.11928417621808,0.46964404,4.034237,11.5431232686465,1.59478021978022,0.993237277960178,2.10813672157223,2.10813534797481,39.473,400
640,"ABC-SMC",1.54779209750021,13.2955164597514,0.46964404,4.034237,37.6539674948517,11.1730769230769,0.779298841939902,229.567069029602,229.567064596141,32.378,400
640,"NelderMead",10.0005,85.9041809106573,0.46964404,4.034237,44.0134605718429,15.6332417582418,0.558975873868018,2029.37866729875,2029.37863865354,13.738,400
640,"DE",0.432702687776667,3.71691115157187,0.46964404,4.034237,10.8814157716082,1.50274725274725,0.994305307873234,7.86581944558123,7.8658206850052,33.466,400
720,"BiLSTM",0.273731797933578,2.19750761985779,0.31748608,2.5315435,17.7804657539825,2.44368131868132,0.993272666714876,13.7814804562208,13.1949492529839,NA,400
720,"ABC",0.363059418662038,2.89493249382366,0.31748608,2.5315435,14.0382789994486,1.9793956043956,0.994840181114861,14.3544367872878,14.3544439913303,47.567,400
720,"ABC-SMC",1.73906912841977,13.8668423681757,0.31748608,2.5315435,45.1790835305113,13.8228021978022,0.833255218173516,447.762323444154,447.762357951806,36.293,400
720,"NelderMead",10.0005,79.7411413018127,0.31748608,2.5315435,48.2773530142412,17.092032967033,0.729966506767063,3049.9018791627,3049.90207759862,17.695,400
720,"DE",0.32630950746182,2.60189915930583,0.31748608,2.5315435,14.4385039267365,1.58653846153846,0.995825748888987,2.77915411655847,2.77916059138724,43.095,400
751,"BiLSTM",0.978532433509827,4.46506690979004,1.0312747,4.456529,13.3988495584706,1.78159340659341,0.997047438518484,5.11427910431366,0.191582053881829,NA,400
751,"ABC",1.32677539283863,5.7334996466781,1.0312747,4.456529,16.3168627935825,4.9217032967033,0.982625038537197,28.6539263339463,28.6539288014977,81.786,400
751,"ABC-SMC",1.6945037122368,7.32259317428121,1.0312747,4.456529,21.2896857428284,8.09203296703297,0.954079838428513,64.3115759784272,64.3115791298837,47.476,400
751,"NelderMead",10.0005,43.2159531493348,1.0312747,4.456529,35.186832173548,18.2747252747253,0.733751913566547,869.722228228813,869.722246827851,21.295,400
751,"DE",0.999111006561804,4.31753756817755,1.0312747,4.456529,12.8523198783474,1.77335164835165,0.997014619168067,3.11882890545031,3.11882704729277,49.359,400
878,"BiLSTM",0.649317741394043,3.17746186256409,0.6607333,3.1471155,13.4050056863155,2.04395604395604,0.993711890133638,1.72771050073562,0.964259575604612,NA,400
878,"ABC",0.714682751748646,3.40408033551337,0.6607333,3.1471155,14.8423417132641,2.18818681318681,0.994034000199404,8.16508744884595,8.16509071603401,53.961,400
878,"ABC-SMC",1.60981479807181,7.66765237376537,0.6607333,3.1471155,41.5208689179756,15.8365384615385,0.773089391020706,143.640633531231,143.640640890535,36.035,400
878,"NelderMead",10.0005,47.6330306167431,0.6607333,3.1471155,49.074121122987,24.8695054945055,0.436664269823642,1413.5456318003,1413.54567751781,16.38,400
