"day","window","regime","win_len","mean_mae","sd_mae"
1,"late_060d","late",60,0,0
2,"late_060d","late",60,0,0
3,"late_060d","late",60,1.11111111111111,1.36422546197874
4,"late_060d","late",60,5.66666666666667,5.56776436283002
5,"late_060d","late",60,11.7777777777778,18.7668442857195
6,"late_060d","late",60,19.5555555555556,18.2010378214479
7,"late_060d","late",60,14.5555555555556,17.306870825709
8,"late_060d","late",60,27.1111111111111,33.2394511252986
9,"late_060d","late",60,34.7777777777778,30.8211687715512
10,"late_060d","late",60,32.8888888888889,39.1262202507616
11,"late_060d","late",60,41.6666666666667,44.9749930516949
12,"late_060d","late",60,42.7777777777778,49.6834423570312
13,"late_060d","late",60,47.3333333333333,51.9398690795424
14,"late_060d","late",60,55.6666666666667,56.0557757951846
15,"late_060d","late",60,52.3333333333333,57.7927331071996
16,"late_060d","late",60,58.8888888888889,68.5190565544441
17,"late_060d","late",60,67.6666666666667,63.7808748764079
18,"late_060d","late",60,68.2222222222222,66.8164982952896
19,"late_060d","late",60,68.8888888888889,67.1163997180355
20,"late_060d","late",60,65.6666666666667,63.4054414068698
21,"late_060d","late",60,70.2222222222222,64.8879375881561
22,"late_060d","late",60,62.7777777777778,71.1543705224384
23,"late_060d","late",60,83.7777777777778,69.3970060193121
24,"late_060d","late",60,72.2222222222222,73.5387275144494
25,"late_060d","late",60,75.3333333333333,72.0624728967859
26,"late_060d","late",60,61.8888888888889,60.7709726029715
27,"late_060d","late",60,66.4444444444444,63.6771370099016
28,"late_060d","late",60,63,62.187217336041
29,"late_060d","late",60,67.7777777777778,70.5297415594616
30,"late_060d","late",60,64.5555555555556,66.2119911932709
31,"late_060d","late",60,57.2222222222222,53.4293406701266
32,"late_060d","late",60,55.5555555555556,55.1704429724629
33,"late_060d","late",60,54.7777777777778,58.4888403410808
34,"late_060d","late",60,49,44.8748259049548
35,"late_060d","late",60,48.2222222222222,40.2950920639778
36,"late_060d","late",60,38.2222222222222,39.6761193218848
37,"late_060d","late",60,30.1111111111111,32.7812615851055
38,"late_060d","late",60,32.6666666666667,28.8270706107991
39,"late_060d","late",60,34.8888888888889,27.2141711450323
40,"late_060d","late",60,31.3333333333333,28.4385302011197
41,"late_060d","late",60,26.3333333333333,23.86943652456
42,"late_060d","late",60,22,17.9722007556114
43,"late_060d","late",60,20.1111111111111,17.9544175932028
44,"late_060d","late",60,14.1111111111111,9.91771703120789
45,"late_060d","late",60,25,15.7480157480236
46,"late_060d","late",60,14.1111111111111,14.0128908905733
47,"late_060d","late",60,10,8.8034084308295
48,"late_060d","late",60,16.7777777777778,11.648795836671
49,"late_060d","late",60,17.4444444444444,15.7330155335135
50,"late_060d","late",60,18.1111111111111,15.3577703821587
51,"late_060d","late",60,14.3333333333333,17.8044938147649
52,"late_060d","late",60,13.7777777777778,13.3020466261566
53,"late_060d","late",60,9.33333333333333,12.1346610995116
54,"late_060d","late",60,18.2222222222222,18.3560465363445
55,"late_060d","late",60,13.8888888888889,17.0839430785493
56,"late_060d","late",60,11.6666666666667,14.543039572249
57,"late_060d","late",60,16.8888888888889,16.7066187815222
58,"late_060d","late",60,21.8888888888889,21.9684116656419
59,"late_060d","late",60,17.5555555555556,16.3639169448448
60,"late_060d","late",60,15.1111111111111,16.2899082597512
61,"late_060d","late",60,16.1111111111111,18.5569693406847
62,"late_060d","late",60,19.7777777777778,17.9706550922454
63,"late_060d","late",60,22.1111111111111,21.1450020362049
64,"late_060d","late",60,17.4444444444444,17.8122928837861
65,"late_060d","late",60,18.5555555555556,14.1519531435692
66,"late_060d","late",60,20.3333333333333,22.8144690930997
67,"late_060d","late",60,20.1111111111111,18.617494759261
68,"late_060d","late",60,23.7777777777778,25.7331390320817
69,"late_060d","late",60,18.7777777777778,17.8660136696591
70,"late_060d","late",60,19.5555555555556,15.4766849737849
71,"late_060d","late",60,19.1111111111111,21.4967697831816
72,"late_060d","late",60,14,13.6106575888162
73,"late_060d","late",60,12.8888888888889,21.5896065529484
74,"late_060d","late",60,16.6666666666667,19.811612756159
75,"late_060d","late",60,15.2222222222222,19.6772570355841
76,"late_060d","late",60,15.5555555555556,16.7489634836839
77,"late_060d","late",60,20.1111111111111,17.7935693752297
78,"late_060d","late",60,15.6666666666667,14.9916643505649
79,"late_060d","late",60,16.4444444444444,13.7850563211681
80,"late_060d","late",60,15.4444444444444,15.0009258973497
81,"late_060d","late",60,18.1111111111111,17.9404880399367
82,"late_060d","late",60,15.6666666666667,17.7411949992102
83,"late_060d","late",60,12.5555555555556,12.4710776510203
84,"late_060d","late",60,13.1111111111111,13.1856403375457
85,"late_060d","late",60,10.3333333333333,9.61769203083567
86,"late_060d","late",60,8.77777777777778,8.16666666666667
87,"late_060d","late",60,11.7777777777778,11.5409897515094
88,"late_060d","late",60,8.77777777777778,9.52336308477443
89,"late_060d","late",60,11.7777777777778,10.0097175007312
90,"late_060d","late",60,8.44444444444444,7.92324288266981
91,"late_060d","late",60,6.44444444444444,9.1938989432002
92,"late_060d","late",60,7.77777777777778,6.11918658356194
93,"late_060d","late",60,7.77777777777778,7.22457226723108
94,"late_060d","late",60,9.11111111111111,8.28318242652612
95,"late_060d","late",60,8.11111111111111,7.9599692908397
96,"late_060d","late",60,6.11111111111111,6.41179468722378
97,"late_060d","late",60,6.77777777777778,6.07819417627016
98,"late_060d","late",60,7.44444444444444,5.31768537784794
99,"late_060d","late",60,7.88888888888889,8.17686438135739
100,"late_060d","late",60,7.88888888888889,8.6087810467633
101,"late_060d","late",60,6.55555555555556,5.63717817509592
102,"late_060d","late",60,7.66666666666667,6.53834841531101
103,"late_060d","late",60,7,5.33853912601566
104,"late_060d","late",60,8.55555555555556,13.3427050397503
105,"late_060d","late",60,7,9.75961064797157
106,"late_060d","late",60,7.33333333333333,8.03118920210451
107,"late_060d","late",60,8.66666666666667,10.4403065089106
108,"late_060d","late",60,5.44444444444444,5.3877432917482
109,"late_060d","late",60,9.88888888888889,14.564034849969
110,"late_060d","late",60,10,17.5214154679352
111,"late_060d","late",60,5,6.20483682299543
112,"late_060d","late",60,5.77777777777778,6.94222186655284
113,"late_060d","late",60,7.55555555555556,9.40892011751496
114,"late_060d","late",60,9,13.6930639376292
115,"late_060d","late",60,5.33333333333333,7.19374728496908
116,"late_060d","late",60,8.11111111111111,13.0522454432604
117,"late_060d","late",60,5.22222222222222,7.42929636267422
118,"late_060d","late",60,6,9.30053761886914
119,"late_060d","late",60,5.11111111111111,9.53210947855254
120,"late_060d","late",60,2.88888888888889,2.66666666666667
121,"late_060d","late",60,7.44444444444444,12.1358056089317
122,"late_060d","late",60,6.66666666666667,10.1365674663566
123,"late_060d","late",60,5.33333333333333,9.87420882906575
124,"late_060d","late",60,5.44444444444444,7.79601037568433
125,"late_060d","late",60,4.88888888888889,8.62328888018435
126,"late_060d","late",60,4.77777777777778,7.83865067753656
127,"late_060d","late",60,4.22222222222222,5.80469158908933
128,"late_060d","late",60,5.11111111111111,8.82389432796603
129,"late_060d","late",60,4.11111111111111,7.80135315897897
130,"late_060d","late",60,5.44444444444444,9.04310664416702
131,"late_060d","late",60,4.22222222222222,9.73110705133
132,"late_060d","late",60,4.11111111111111,6.88194094068753
133,"late_060d","late",60,4.11111111111111,6.35303951751531
134,"late_060d","late",60,3.66666666666667,6.06217782649107
135,"late_060d","late",60,4.44444444444444,6.44420497639373
136,"late_060d","late",60,3.77777777777778,8.42285251232885
137,"late_060d","late",60,4.44444444444444,8.21752869041403
138,"late_060d","late",60,4.11111111111111,7.54063068390908
139,"late_060d","late",60,2.11111111111111,2.71313676601662
140,"late_060d","late",60,4,8.38152730712011
141,"late_060d","late",60,3.77777777777778,8.43768003923143
142,"late_060d","late",60,4.55555555555556,9.61913602033872
143,"late_060d","late",60,3.66666666666667,7.72981241687015
144,"late_060d","late",60,5.11111111111111,11.2854380114868
145,"late_060d","late",60,2.44444444444444,4.41902452785428
146,"late_060d","late",60,1.55555555555556,2.92023591132254
147,"late_060d","late",60,3.33333333333333,6.36396103067893
148,"late_060d","late",60,3.33333333333333,7.81024967590665
149,"late_060d","late",60,2.88888888888889,5.06074215022966
150,"late_060d","late",60,2.55555555555556,6.1869037310902
151,"late_060d","late",60,2.77777777777778,7.22457226723108
152,"late_060d","late",60,3.33333333333333,5.8949130612758
153,"late_060d","late",60,2.88888888888889,6.17341972581738
154,"late_060d","late",60,2.77777777777778,7.22457226723108
155,"late_060d","late",60,2.88888888888889,5.48735921105144
156,"late_060d","late",60,2.44444444444444,5.15051238012081
157,"late_060d","late",60,2.77777777777778,6.53409859463755
158,"late_060d","late",60,1.55555555555556,3.43187671366233
159,"late_060d","late",60,2,4.52769256906871
160,"late_060d","late",60,2.33333333333333,5.1720402163943
161,"late_060d","late",60,2.33333333333333,5.59016994374947
162,"late_060d","late",60,2.11111111111111,4.85912657903775
163,"late_060d","late",60,2.55555555555556,6.55955621805148
164,"late_060d","late",60,2.44444444444444,4.53075907302273
165,"late_060d","late",60,1.88888888888889,4.56739653534824
166,"late_060d","late",60,2,4.55521678957215
167,"late_060d","late",60,1.66666666666667,3.20156211871642
168,"late_060d","late",60,1.44444444444444,2.87711275027201
169,"late_060d","late",60,1.44444444444444,2.92023591132254
170,"late_060d","late",60,2,3.53553390593274
171,"late_060d","late",60,1.88888888888889,4.28498671072748
172,"late_060d","late",60,2.22222222222222,3.80058475033046
173,"late_060d","late",60,1.88888888888889,3.8873012632302
174,"late_060d","late",60,1.33333333333333,2.95803989154981
175,"late_060d","late",60,1.11111111111111,2.26077666104176
176,"late_060d","late",60,1.66666666666667,3.90512483795333
177,"late_060d","late",60,1.55555555555556,2.74367960552572
178,"late_060d","late",60,1.22222222222222,3.30823887354653
179,"late_060d","late",60,2,5.26782687642637
180,"late_060d","late",60,1.22222222222222,2.99072640748773
181,"late_060d","late",60,1.33333333333333,3.64005494464026
182,"late_060d","late",60,0.888888888888889,1.61589328580544
183,"late_060d","late",60,1,2.29128784747792
184,"late_060d","late",60,1.44444444444444,3.97212509593766
185,"late_060d","late",60,1.44444444444444,3.60940130461795
186,"late_060d","late",60,1.55555555555556,4.30439052338165
187,"late_060d","late",60,0.888888888888889,1.83333333333333
188,"late_060d","late",60,0.222222222222222,0.440958551844098
189,"late_060d","late",60,0.888888888888889,2.31540733157497
190,"late_060d","late",60,1.88888888888889,4.22624077770199
191,"late_060d","late",60,1,1.80277563773199
192,"late_060d","late",60,0.444444444444444,1.0137937550497
193,"late_060d","late",60,0.666666666666667,2
194,"late_060d","late",60,0.666666666666667,1.11803398874989
195,"late_060d","late",60,0.777777777777778,1.30170827931778
196,"late_060d","late",60,1.11111111111111,2.61937227425028
197,"late_060d","late",60,0.666666666666667,1.6583123951777
198,"late_060d","late",60,0.888888888888889,2.31540733157497
199,"late_060d","late",60,1,2.64575131106459
200,"late_060d","late",60,1,2.64575131106459
201,"late_060d","late",60,1,2.64575131106459
202,"late_060d","late",60,1,2.29128784747792
203,"late_060d","late",60,0.333333333333333,1
204,"late_060d","late",60,0.555555555555556,1.0137937550497
205,"late_060d","late",60,0.555555555555556,1.13038833052088
206,"late_060d","late",60,1.11111111111111,2.31540733157497
207,"late_060d","late",60,0.222222222222222,0.440958551844098
208,"late_060d","late",60,1,2.64575131106459
209,"late_060d","late",60,0.444444444444444,1.33333333333333
210,"late_060d","late",60,0.555555555555556,1.0137937550497
211,"late_060d","late",60,0.111111111111111,0.333333333333333
212,"late_060d","late",60,0.666666666666667,2
